id,Year,CompetitionType,City
8695e858-ceeb-4b76-82f5-1acc24c47db5,1980,WCH,Hazewinkel
c3446ea8-92c3-4646-b47a-fe2e84bcee97,1980,JWCH,Hazewinkel
45a27735-6626-48f7-a50b-bc127e248238,1981,JWCH,Sofia
9d60027c-eaa6-46c9-ae62-ac430c1da031,1981,WCH,Munich
a9dc6674-81af-4a3c-950f-af03713e0c67,1982,JWCH,Piediluco
2693ae73-c615-479a-9b3d-8d574f797ed8,1982,WCH,Lucerne
d2c5d315-b701-4ffa-8cb5-ebff7d8e2853,1983,JWCH,Vichy
0ba0f3cc-5d83-4c9c-9456-3bc053c3d04e,1983,WCH,Duisburg
bf1a0f78-ec0a-46b0-89d3-39625afbf983,1984,JWCH,Jonkoping
ea7092b7-8a5a-4e13-a5d2-0487627d332e,1985,JWCH,Brandenburg
272331ab-b4f5-4e3b-9d7b-c98c671d3e89,1985,WCH,Hazewinkel
25583d7b-9841-4297-8d24-ff7115cb57dd,1986,JWCH,Racice
aac80571-3bf8-4e6c-90fc-295bd36cf13d,1986,WCH,Nottingham
d575b065-7fa5-479e-8a62-9eb5b1b6943b,1987,JWCH,Cologne
285ba734-fadc-45c3-bce6-853af346006d,1987,WCH,Copenhagen
72558d3d-a62d-4988-9531-6d4b3eab74cf,1988,JWCH,Milan
f810f67f-5154-48e9-bb07-24d6018166c9,1989,JWCH,Szeged
670cfcac-1d27-4089-9a91-b707b86536de,1989,WCH,Bled
524245ba-52c9-4c02-8ef3-ac1da5441d2d,1990,JWCH,Aiguebelette
8950fb76-db49-489e-98cf-ca6156b2ef08,1990,WCH,Tasmania
dd5a41fb-8f95-4207-82b4-ac6dbec57006,1991,JWCH,Banyoles
79585892-8261-43f4-bfa7-4249139a5913,1991,WCH,Vienna
18175abc-ab72-44b9-9ee1-ee18f8e60211,1992,JWCH,Montreal
67d80f72-1bbc-42c4-ae2e-85c1996fd335,1993,JWCH,
3e89180a-626b-404d-a879-9fab1739e436,1993,WCH,Racice
42311a47-2757-424a-822f-b4788131eaac,1994,JWCH,Munich
a989e48f-cd41-47ec-a3d1-760b1f6e337a,1994,WCH,Indianapolis
0d62b5fc-e356-42f7-8e97-9b7c19949286,1995,JWCH,Poznan
12ad6cc0-5f21-481c-a359-d6a4b536e600,1995,WCH,Tampere
e73dd7b8-9360-438f-8436-5e1e6f41f09d,1996,JWCH,Glasgow
ee049555-53f3-4bee-b786-554ede7267e6,1997,JWCH,Hazewinkel
fa1f6207-153d-49d6-a1e0-9d17d51f6be7,1997,WCH,Aiguebelette
c0723546-a0b2-4244-a81b-7d09a259ebef,1998,JWCH,Linz Ottensheim
dced62c4-73af-45f4-8676-a1a6feab1fbb,1998,WCH,Cologne
519d19e3-e7d0-47d9-9af5-5d0cce58f605,1999,JWCH,Plovdiv
9bf29b6d-d084-4ace-95e4-5f35e75262fe,1999,WCH,St. Catharines
2667ee37-38e7-4f27-b2d9-c6a61cb2525a,2000,JWCH,Zagreb
a4fe47b2-6959-483e-acf0-7eeffbdfaaa1,2001,JWCH,Duisburg
844bb773-50f9-4b2f-abc1-b2cdd22fd720,2001,WCH,Lucerne
0ad2a5b9-ea6d-483e-b6db-c8dcaac0c11e,2002,JWCH,Trakai
494f5f02-7db4-4fa8-b257-9a6dc02c1d38,2002,WCH,Seville
e57bb664-83de-4b9d-b59e-df5271b1a1bd,2003,JWCH,Athens
c63b1af1-9218-4b8b-9364-aab64d75b12e,2003,WCH,Milan
9d590a5d-8e56-4dc2-9e10-a6877f1eb1db,2004,JWCH,Banyoles
2f4120f0-f19c-44c5-a625-d6ef99669f05,2005,U23WCH,Amsterdam
ee72a83b-afcb-4692-93f7-513c44512c6f,2005,JWCH,Brandenburg
7bdd5ea2-2b6e-4d11-9240-dd88464abe64,2005,WCH,Gifu
751c2921-be96-4c4d-b5c7-9e5f8a2b18db,2006,U23WCH,Hazewinkel
30fe7973-3cd0-4752-a8ed-8343e9eb0973,2006,JWCH,Amsterdam
4ba92291-ed9f-479d-bdd2-09d8f76bf9cd,2006,WCH,Eton
446f47d9-0b60-479f-9671-f070aeec1ba7,2007,U23WCH,Glasgow
8d02d650-65b4-4146-8c58-c4b82997fab4,2007,JWCH,Beijing
25522e48-4f6a-4f44-8360-99b481fb0abb,2007,WCH,Munich
d0a717aa-dcab-4525-b945-3c4080d28d0c,2009,U23WCH,Racice
13364f6d-df2c-43b0-b703-bd1589cb0e2c,2009,JWCH,Brive-la Gaillarde
e6ea2d68-2ea5-48ae-85d6-2a94dc379b99,2009,WCH,Poznan
90e7d34a-38de-4ef1-8658-cf47b5eed7f3,2010,U23WCH,Brest
b3e47f72-9b87-4621-a473-8d2fbd3bc441,2010,JWCH,Racice
e50bcbae-c31a-4ea0-a13d-e5ac81a8d351,2010,WCH,Karapiro
661d4aa2-a2e8-4fb2-b834-c33e5ae6cb6b,2011,U23WCH,Amsterdam
368c895d-3b2b-49f7-83f8-77693be59b53,2011,JWCH,Eton
1a1ad531-1837-411e-b4a4-1e29d058f8e2,2011,WCH,Bled
7c0ee77b-3bbe-45a1-b5e2-a46d3132b5e9,2012,U23WCH,Trakai
3f435482-c299-4e1a-a620-484f14670a89,2013,U23WCH,Linz Ottensheim
59c4b556-7786-4273-9d10-0f935ae71212,2013,JWCH,Trakai
22d68678-c722-401e-a91d-a6402796cbb9,2013,WCH,Chungju
c78755a5-2f89-4b3e-954d-327150d37216,2014,U23WCH,Varese
0915aa2b-6714-4cbe-8f79-89ef31952647,2014,JWCH,Hamburg
61fe8e91-c16c-43fe-895f-6dd45e2c9941,2014,WCH,Amsterdam
c1fced48-af9d-4757-a32d-42a2bf9da0aa,2015,U23WCH,Plovdiv
b3ab4b0c-c8e8-4948-a707-ea9757087cdc,2015,JWCH,Rio de Janeiro
e534a1fe-1da7-4dd7-ab42-5e8d9c6807aa,2015,WCH,Aiguebelette
86b44ef3-a9e9-48e4-95d8-81989260b8d9,2016,JWCH,Rotterdam
a9f73ce0-24b0-4c05-ad3f-dfbf0c49e725,2016,U23WCH,Rotterdam
b1085085-ce1b-4f95-ac70-78ecfb724ec4,2016,WCH,Rotterdam
2428dcc7-1913-4e50-bf40-3c28750e9e94,2017,U23WCH,Plovdiv
0c5c7389-38ec-40c2-80e3-419600e83dc1,2017,JWCH,Trakai
3b825295-1eb8-4f82-bf11-adef42157834,2017,WCH,Sarasota-Bradenton
590d9904-42e3-4242-906b-53a7a749aab8,2018,U23WCH,Poznan
16d091ff-c4a1-4392-9dc7-7b8c285e6f77,2018,JWCH,Racice
2e0f134b-a76f-46e9-b1bf-e1c987a11747,2018,WCH,Plovdiv
d7c0b983-0cf3-4c07-b713-523b9d1bd6e5,2019,U23WCH,Sarasota-Bradenton
0aa744f5-4224-4f19-8ee4-37bc644ba61a,2019,JWCH,Tokyo
1fa9897a-9405-423f-a7a5-2040576911cb,2019,WCH,Linz Ottensheim
ff965f00-32ff-4c83-bc22-e7d28e43c4c8,2021,U23WCH,Racice
b833cc4b-2875-4237-89ec-ca6999acc0b9,2021,JWCH,Plovdiv
7ee519e5-288d-4585-bab4-bf916dca49b8,2022,U23WCH,Varese
14747dc9-c824-4866-9bad-ff9162b931c4,2022,JWCH,Varese
6f177182-6b70-49b7-8e81-abfe36f1ba04,2022,WCH,Racice
05eb154a-abc3-4618-82dc-c46ce3a40e90,2023,U23WCH,Plovdiv
e425631d-7ee3-454f-b34e-b2f79b9627f2,2023,JWCH,Paris
bd86933d-79f1-4f4e-8506-fbc04835e8d5,2023,WCH,Belgrade
32228428-db12-474e-8fdd-891f280a5ee0,2024,U23WCH,St. Catharines
63da80b7-58e3-413a-baae-c5e08b606d93,2024,WCH,St. Catharines
00d87130-478c-4a3f-ac13-6f770b8b9e04,2024,JWCH,St. Catharines
